titulo;director;productor;a�o;idioma;pais;formato;minutos;premier_mundial;compania_productora;premios;web_entradas;sinopsis_es;reparto;tipo
Un fotomontaje;Carola Gliksberg;Carola Gliksberg y Nicolas Abuaf;2015;7;Argentina;archivos digitales;7 min;si;Hasta 30 Minutos - distribuidora de cortometrajes;"";"";"";"";Cortometraje
Placer y martirio;José Celestino ,Campusano;"";2015;"";"";DM;100 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150295;"<p>Delfina: mujer casada con marido e hija adolescente, buen pasar econ&oacute;mico, mucama. Una amiga le presenta a Kamil, un se&ntilde;or mayor que juega a las grandes finanzas y, sobre todo, juega a representar ese papel de tibur&oacute;n manipulador y sofisticado. No es que Kamil finja, es que todo en Placer y martirio est&aacute; atravesado por un juego de m&aacute;scaras, por la peculiar idea que tiene Campusano sobre la actuaci&oacute;n y los di&aacute;logos, de un nivel de artificio consistente y que carga el relato de una electricidad particular. Campusano &ndash;en una novedosa incursi&oacute;n de su cine en algo as&iacute; como las clases altas o media-altas&ndash; consigue un melodrama sobre el ennui, la sumisi&oacute;n y el sexo en el que los personajes secundarios &ndash;la mucama reclamante, intensa y a la vez deadpan&ndash; por momentos generan pasos de comedia tan inc&oacute;modos como inusuales. Debajo del singular contrato de verosimilitud que puede llegar a establecerse con ella, Placer y martirio bulle como un relato de una intensidad poco com&uacute;n en el cine argentino, de un ritmo narrativo extraordinario, con la vitalidad y el atractivo de quien le tiene poco miedo al error y construye as&iacute; un cine cuyos bordes desparejos le permiten ampliar el espectro, o los fantasmas. Javier Porta Fouz</p>";<p>Natacha Mendez, Rodolfo &Aacute,valos, Paula Napolitano, Aldana Carretino, Myrian Ag&uuml,ero</p>;Pelicula
Enero ;Lucía ,Salas ;"";2015;"";"";DM;13 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150153;"<p>Lea, reci&eacute;n llegado de C&oacute;rdoba, decide pasar a buscar algunas cosas que quedaron en la casa de su ex novia en Buenos Aires, aprovechando que se fue de viaje. Al entrar se encuentra con Lucre, una amiga de su ex que est&aacute; a cargo de la casa y de una gata. La gata desaparece y ahora ambos deben quedarse hasta encontrarla.</p>";<p>I: Lucrecia Kelmansky, Leandro Naranjo</p>;Pelicula
Enero ;Lucrecia ,Kelmansky;"";2015;"";"";DM;13 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150153;"<p>Lea, reci&eacute;n llegado de C&oacute;rdoba, decide pasar a buscar algunas cosas que quedaron en la casa de su ex novia en Buenos Aires, aprovechando que se fue de viaje. Al entrar se encuentra con Lucre, una amiga de su ex que est&aacute; a cargo de la casa y de una gata. La gata desaparece y ahora ambos deben quedarse hasta encontrarla.</p>";<p>I: Lucrecia Kelmansky, Leandro Naranjo</p>;Pelicula
Poner al rock de moda;Santiago ,Charriere;"";2015;"";"";DCP;78 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150298;"<p>El camino del h&eacute;roe, aquella mitolog&iacute;a convertida en dogma que tanto mal y tanto bien le hizo a la narraci&oacute;n cl&aacute;sica, podr&iacute;a, con sus caballeros munidos de guitarras que enfrentan obst&aacute;culos que parecen insalvables en un mundo de fantas&iacute;a, encontrar f&aacute;cilmente un reflejo en el ambiente del rock. Pero, a diferencia de la mayor&iacute;a de las pel&iacute;culas sobre bandas de m&uacute;sica, Poner al rock de moda no se trata de un documental de ascenso al &eacute;xito. Banda de Turistas ya es una banda reconocida, con gran repercusi&oacute;n de p&uacute;blico y bendecida por la cr&iacute;tica. &iquest;Qu&eacute; sigue, entonces? Viajes por Argentina y el exterior y la presi&oacute;n de c&oacute;mo continuar, y ah&iacute; es donde entra Charriere con sus c&aacute;maras (porque hay de todo: Super 8, 16mm y video) para registrar ensayos, recitales y esos momentos de tensi&oacute;n y creaci&oacute;n tan elusivos como maravillosos. El tema central de esta &oacute;pera prima puede encontrarse en su t&iacute;tulo: el arte y su trascendencia, dos t&eacute;rminos problem&aacute;ticos que, tarde o temprano, entran en conflicto en la vida de todo artista. Leandro Listorti</p>";<p>Tom&aacute,s Putruele, Bruno Albano, Luis Balcarce, Patricio Troncoso, Guido Colzani</p>;Pelicula
La princesa de Francia;Matías,Piñeiro;"";2014;"";"";DCP;70 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150230;<p>La secuencia inicial de esta película no solo es memorable y absolutamente genial, sino que además da cuenta de un manejo escénico y coreográfico magistral: en una cancha de fútbol 5, filmada desde algún balcón porteño y con música de Schumann, se abre paso la tercera shakesperiada de Matías Piñeiro. Con ayuda del gran ojo de Fernando Lockett y una impresionante dirección de actores, la materia prima teatral se transforma en el puro cine al que el director nos tiene acostumbrados. Piñeiro lleva al extremo tanto a sus personajes como a la narración, y nos invita a armar el rompecabezas de la vida amorosa de Víctor, quien recién llega a Buenos Aires desde México y se ve rodeado por una serie de mujeres: su novia, su ex novia, su amiga, su amante, etc. El libre trabajo sobre una serie de comedias shakesperianas, las referencias musicales y pictóricas –allí está el cuadro de William A. Bouguereau que da título al film–, los elementos radiales y la lucidez de un gran orquestador dan como resultado una película que trasciende toda referencia y asume un sello propio. Violeta Bava</p>;<p>Julián Larquier, Agustina Muñoz, María Villar</p>;Pelicula
La sombra;Javier ,Olivera;"";2015;"";"";DCP;72 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150232;"<p>Aunque tiene un dejo de iron&iacute;a y otro de innegable amargura, no es gratuita la cita a El ciudadano que Javier Olivera desliza en La sombra: su propia historia, la de su padre como joven magnate del cine nacional, y la de la casona de zona norte en la que su familia ten&iacute;a una vida id&iacute;lica, registrada en regio Super 8, y que fue una especie de Xanad&uacute; arrasada por un tsunami. &Uacute;nicamente que esa devastadora fuerza de la naturaleza se llev&oacute; consigo no solo la mansi&oacute;n familiar, sino tambi&eacute;n la vida en familia, el cine como contrase&ntilde;a para dar la vuelta al mundo, la exuberancia y la comodidad. Olivera se anima a mirar de frente los restos (literalmente, en este caso: la casona primero se fue vaciando y luego fue demolida) de un pasado de gloria; pero tambi&eacute;n construye un presente hecho de fragmentos, de escombros, de cintas olvidadas y de cosas nunca antes dichas. La sombra es una pel&iacute;cula valiente y hermosa, hecha a sabiendas de que nada de esto puede volver a poner el mito en su lugar. Marcelo Panozzo</p>";"";Pelicula
El Sueño del Pibe;Martin Holzman;Martin Busel;2015;español;Argentina;archivos digitales;13 min;si;Hasta 30 Minutos - distribuidora de cortometrajes;"";"";"";"";Cortometraje
Un poco mas;Santiago Podesta;Santiago Podesta;2015;español;Argentina;archivos digitales;12 min;si;Hasta 30 Minutos - distribuidora de cortometrajes;"";"";"";"";Cortometraje
Matias y Jeronimo;Gerardo “Papu” Curotto;Gerardo “Papu” Curotto;2015;español;Argentina;archivos digitales;9 min;si;Hasta 30 Minutos - distribuidora de cortometrajes;"";"";"";"";Cortometraje
Griselidis, carnets de bal;Natacha Giler;La Huit;2013 / end january 2014;French;Francia;ProRes LT file;53 min;si;La Huit;"";"";"";"";Largometraje
Todo el tiempo del mundo;Rosendo ,Ruiz;"";2015;"";"";DCP;72 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150371;"<p>Una escuela y un director de cine unieron fuerzas para hacer una pel&iacute;cula. El realizador (Rosendo Ruiz) aport&oacute; lo que un director de cine debe aportar, claro, pero fue mucho m&aacute;s lejos: se meti&oacute; de lleno en una obra coral (en serio), dej&oacute; de lado otra parte de lo que se supone que un director de cine debe aportar, y arm&oacute; guion, equipo y elenco con docentes, no docentes y alumnos de la escuela Dante Alighieri de C&oacute;rdoba. Los protagonistas son adolescentes que huyen de la ciudad y emprenden un viaje por las sierras cordobesas en busca de una m&iacute;tica comunidad libertaria. Con el Mundial de Brasil como tel&oacute;n de fondo, los chicos buscan y no encuentran, encuentran lo que no buscan, se acercan, se alejan, viven aventuras torpemente o las evitan sabiamente, hasta que quedan al borde de un l&iacute;mite en el que tanto el anhelo de la experiencia comunitaria como la vieja vida quedan igual de lejos y es necesario tomar una decisi&oacute;n. El resultado es radiante de muchas maneras; una de ellas tiene que ver con que deja a la altura de adagios rid&iacute;culos varias de las normas con las que se hace cine en este pa&iacute;s. Marcelo Panozzo</p>";<p>J. I. Croce, M. Dalesson, P. Ledesma, M. Muzi</p>;Pelicula
Victoria (Competencia Argentina);Juan ,Villegas;"";2015;"";"";DCP;70 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150387;"<p>Cuando espera el tren, cuando est&aacute; en su cocina preparando la comida, Victoria Mor&aacute;n no parece diferenciarse del resto de los mortales. Pero cuando entona las primeras notas de un tema de Omara Portuondo, podemos darnos cuenta de que se trata de algo especial. Victoria es una cantora due&ntilde;a de una voz excepcional. Ha editado discos, se presenta regularmente en vivo y la cr&iacute;tica la considera una de las int&eacute;rpretes m&aacute;s destacadas de la m&uacute;sica popular actual. Desde hace casi dos d&eacute;cadas viene llevando adelante, a puro pulm&oacute;n, una carrera alejada de los medios masivos y de las luces del &eacute;xito popular. Pero esa vida de artista debe acoplarse a su otra vida, la de madre, profesora y ama de casa. Y esos dos mundos, que uno puede imaginar paralelos, corren entrelazados y a veces golpe&aacute;ndose uno con otro. Al igual que lo que suced&iacute;a con Reimon, de Rodrigo Moreno, Victoria encuentra en una figura femenina la representaci&oacute;n m&aacute;s clara y acabada de la lucha diaria arrastrada por las tensiones entre el arte y el trabajo, la teor&iacute;a y la pr&aacute;ctica, que debe llevarse a cabo para el encuentro con uno mismo. Leandro Listorti</p>";<p>Victoria Mor&aacute,n, Luc&iacute,a Marmori, Raimundo Marmori, Ram&oacute,n Maschio, Alberto Jaime</p>;Pelicula
Escuchá ;Juan ,Salvador Ramos;"";2015;"";"";DM;15 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150146;"<p>Emanuel llega a su departamento apurado. Prepara la cena para su novia. Para su ex novia. Algunos mensajes en el contestador telef&oacute;nico cambian sus planes m&aacute;s pr&oacute;ximos y hacen que el mundo del que intenta escapar se le caiga encima, pero el mundo siempre puede volverse m&aacute;s ligero.<br /><br /></p>";<p>I: Esteban Bigliardi, Mar&iacute,a Dupl&aacute,a</p>;Pelicula
El fuego nace en el agua ;Julieta ,Amalric;"";2015;"";"";DM;10 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150118;"<p>Una mujer escapa junto a su hijo para adentrarse en el bosque, escenario de una llamada que arrojar&aacute; m&aacute;s dudas que certezas. Qui&eacute;n escapa, qui&eacute;n persigue y qui&eacute;n est&aacute; perdido.<br /><br /></p>";<p>I: Pilar Ben&iacute,tez Vibart, M&aacute,ximo Silva</p>;Pelicula
Las furias;Tamae ,Garateguy;"";2015;"";"";DM;12 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150118;"<p>Las causas est&aacute;n ocultas, las furias son visibles. Un hombre y una mujer se reencuentran para acabar con su destino tr&aacute;gico y vengarse.<br /><br /></p>";<p>I: Guadalupe Docampo,&nbsp,Nicol&aacute,s Goldschmidt, Valent&iacute,n Javier Diment</p>;Pelicula
Futuros líderes;Nicolás Alejandro, Ponieman;"";2015;"";"";DM;8 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150153;"<p>Mart&iacute;n y Mat&iacute;as son dos mejores amigos que est&aacute;n a punto de comenzar sus vidas fuera de la escuela. Mart&iacute;n decide empezar a buscar trabajo, mientras que Mat&iacute;as est&aacute; c&oacute;modo en su rol de hijo.<br /><br /></p>";<p>I: Brian Cocchia, Mart&iacute,n Calder&oacute,n, Marina Ponieman, Gerardo Ponieman, Carlos Luppi</p>;Pelicula
Function Was Finished;Patricio ,Ballesteros Ledesma;"";2014;"";"";DM;8 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150146;"<p>Despu&eacute;s de que los turistas terminan de sacarles fotos a los lobos marinos del puerto, s&iacute;mbolo de la ciudad balnearia m&aacute;s visitada de Argentina, aparece con un pulcro delantal blanco y una especie de l&aacute;tigo en su mano el encargado de que los animales vuelvan al agua. Dicen que es por una cuesti&oacute;n de higiene, para que no est&eacute;n donde los barcos descargan cada d&iacute;a el pescado. As&iacute; termina el show.<br /><br /></p>";"";Pelicula
La hora del lobo ;Natalia ,Ferreyra;"";2015;"";"";DM;30 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150112;"<p>El 3 de diciembre de 2013 la polic&iacute;a de la ciudad de C&oacute;rdoba, Argentina, abandona sus servicios a ra&iacute;z de una protesta salarial. Cae la noche y empieza una ola de robos y saqueos. En el barrio de Nueva C&oacute;rdoba, habitado en su mayor&iacute;a por estudiantes universitarios, el escenario adquiere una atm&oacute;sfera diferente cuando los estudiantes salen a la calle para interceptar a los supuestos asaltantes.<br /><br /></p>";"";Pelicula
Las luces ;Juan ,Renau;"";2014;"";"";DM;7 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150112;"<p>Como todas las navidades, Jorge y Jorgito decoran su casa de una manera especial.<br />La gente del pueblo la llama &ldquo;La casa de las luces&rdquo;.<br /><br /></p>";<p>I: Jorge Gervasi, Jorgito Gervasi</p>;Pelicula
Las luces ;Manuel ,Abramovich ;"";2014;"";"";DM;7 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150112;"<p>Como todas las navidades, Jorge y Jorgito decoran su casa de una manera especial.<br />La gente del pueblo la llama &ldquo;La casa de las luces&rdquo;.<br /><br /></p>";<p>I: Jorge Gervasi, Jorgito Gervasi</p>;Pelicula
Bandas de la muerte;Veronica dema y Gustavo Barco;Veronica Dema y Gustavo Barco;2015;español;Argentina;archivos digitales;30 min;si;Hasta 30 Minutos - distribuidora de cortometrajes;"";"";"";"";Cortometraje
fractal (working title);Emiliano Cativa;Emiliano Cativa;2014;silente;Argentina;ProRes;5  min;si;scope;"";"";"";"";Cortometraje
La novia de Frankenstein ;Agostina ,Gálvez ;"";2015;"";"";DM;12 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150146;"<p>Durante el verano, Ivana trabaja para una agencia que alquila departamentos a extranjeros. Su tarea es simple: recibir inquilinos, traducir de ingl&eacute;s a espa&ntilde;ol y cambiar d&oacute;lares por pesos. Ivana, sin embargo, es compleja, y toda esa red de traducciones e intercambios termina construyendo un mundo en el que la realidad y la ficci&oacute;n, los pesos y los d&oacute;lares, los amantes y los amores se vuelven indistintos.<br /><br /></p>";<p>I: Miel Bargman, Renzo Cozza, Mariel Fern&aacute,ndez, Claudia Cantero, Jair Jes&uacute,s Toledo</p>;Pelicula
La novia de Frankenstein ;Francisco ,Lezama;"";2015;"";"";DM;12 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150146;"<p>Durante el verano, Ivana trabaja para una agencia que alquila departamentos a extranjeros. Su tarea es simple: recibir inquilinos, traducir de ingl&eacute;s a espa&ntilde;ol y cambiar d&oacute;lares por pesos. Ivana, sin embargo, es compleja, y toda esa red de traducciones e intercambios termina construyendo un mundo en el que la realidad y la ficci&oacute;n, los pesos y los d&oacute;lares, los amantes y los amores se vuelven indistintos.<br /><br /></p>";<p>I: Miel Bargman, Renzo Cozza, Mariel Fern&aacute,ndez, Claudia Cantero, Jair Jes&uacute,s Toledo</p>;Pelicula
